0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:58:03 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:58:47 +0530] "GET /ShoeRack/admin/product/deleteproduct/8 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:12:51 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:12 +0530] "POST /ShoeRack/admin/product/addProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:12 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:23 +0530] "GET /ShoeRack/product/getAllProducts HTTP/1.1" 200 8316
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:23 +0530] "GET /ShoeRack/product/Resources/Images/logo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:23 +0530] "GET /ShoeRack/product/Resources/Images/mainBanner.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:23 +0530] "GET /ShoeRack/product/Resources/Images/fi-male.svg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Feb/2017:13:13:23 +0530] "GET /ShoeRack/product/Resources/Images/fi-female.svg HTTP/1.1" 404 992
